Trait,R Squared,Adj. R Squared,F- Stats,Prob (F - Stat),Primary Variable,Coef,t-value,P > |t|,Linearity (Rainbow p-value),Independence (Durbin-Watson),Homoscedasticity (BP p-value),Normality (Shapiro-Wilk p-value),Max VIF,Influential Points
OP,0.845017453234584,0.7899578642521335,15.34732584916177,5.331478597873562e-21,perceived_personalization_OP,10.039907554413027,4.601388682269729,1.6484707642180093e-05,0.8797682609403561,2.172221816279009,0.09440906796776123,0.06937934458255768,4.779697571248875,10
CO,0.8730154333321973,0.827902495173899,19.35177509983598,4.074548892217623e-24,perceived_personalization_CO,13.488459902725953,6.099714282193961,4.1191431155710507e-08,0.5162083591890386,2.155288994244655,0.0717336438180192,0.5892083644866943,4.767670824323637,11
EX,0.865768620812948,0.8180811571543901,18.15505699803723,3.034826253757895e-23,perceived_personalization_EX,15.661947421094048,6.91600910571996,1.263552611694678e-09,0.025151873599988724,2.2534049439555,0.06887426252503567,0.005285304505378008,4.807224154958072,10
AG,0.8987988347026747,0.8628457891365198,24.99924055248254,1.042012152659363e-27,perceived_personalization_AG,13.226654198561386,7.534582500633329,8.522279960875541e-11,0.603512561860399,2.179343685201415,0.1673570012456497,0.01520420890301466,4.763425464780722,13
