iter	Passed	Remaining
526	106935	95978
527	107134	95771
528	107315	95549
529	107490	95321
530	107676	95104
531	107853	94878
532	108039	94661
533	108216	94436
534	108405	94221
535	108573	93988
536	108752	93766
537	108917	93531
538	109077	93292
539	109265	93078
540	109428	92842
541	109619	92630
542	109781	92394
543	109941	92156
544	110092	91912
545	110254	91676
546	110411	91437
547	110558	91190
548	110738	90970
549	110926	90757
550	111098	90532
551	111261	90299
552	111419	90062
553	111577	89826
554	111735	89589
555	111907	89364
556	112069	89132
557	112231	88900
558	112386	88662
559	112540	88424
560	112702	88193
561	112859	87957
562	113025	87730
563	113204	87512
564	113382	87294
565	113546	87065
566	113704	86832
567	113865	86602
568	114080	86412
569	114301	86227
570	114467	86001
571	114630	85772
572	114794	85544
573	114960	85318
574	115131	85096
575	115305	84877
576	115504	84676
577	115690	84466
578	115859	84242
579	116026	84019
580	116195	83796
581	116366	83575
582	116520	83343
583	116685	83118
584	116835	82883
585	117005	82662
586	117171	82439
587	117310	82197
588	117473	81972
589	117632	81744
590	117781	81510
591	117941	81283
592	118093	81052
593	118252	80826
594	118410	80598
595	118572	80374
596	118743	80156
597	118895	79926
598	119065	79708
599	119238	79492
600	119408	79274
601	119570	79051
602	119708	78813
603	119850	78577
604	119996	78344
605	120153	78119
606	120297	77886
607	120471	77672
608	120624	77445
609	120773	77215
610	120923	76987
611	121099	76775
612	121255	76550
613	121414	76328
614	121594	76120
615	121758	75901
616	121935	75691
617	122103	75475
618	122251	75246
619	122426	75035
620	122587	74815
621	122743	74593
622	122906	74375
623	123052	74147
624	123223	73933
625	123385	73715
626	123537	73492
627	123702	73276
628	123863	73058
629	124028	72842
630	124192	72625
631	124349	72406
632	124521	72195
633	124681	71977
634	124841	71759
635	125009	71546
636	125177	71333
637	125339	71117
638	125501	70901
639	125664	70686
640	125826	70470
641	125972	70246
642	126137	70032
643	126286	69810
644	126443	69592
645	126592	69371
646	126748	69153
647	126908	68938
648	127060	68718
649	127210	68498
650	127366	68280
651	127521	68063
652	127678	67847
653	127834	67631
654	127988	67413
655	128147	67199
656	128308	66985
657	128463	66769
658	128625	66557
659	128788	66345
660	128936	66126
661	129092	65911
662	129250	65697
663	129413	65486
664	129562	65268
665	129724	65057
666	129882	64844
667	130051	64636
668	130209	64423
669	130360	64207
670	130515	63993
671	130691	63790
672	130825	63565
673	130951	63338
674	131101	63122
675	131279	62920
676	131443	62712
677	131582	62491
678	131762	62291
679	131919	62079
680	132077	61869
681	132230	61655
682	132376	61439
683	132529	61227
684	132690	61018
685	132840	60804
686	132992	60591
687	133149	60381
688	133307	60172
689	133470	59964
690	133632	59757
691	133791	59548
692	133939	59335
693	134080	59118
694	134229	58906
695	134390	58699
696	134553	58493
697	134715	58286
698	134863	58074
699	135015	57863
700	135168	57654
701	135319	57443
702	135476	57235
703	135635	57028
704	135804	56826
705	135962	56618
706	136096	56401
707	136248	56192
708	136406	55986
709	136563	55779
710	136726	55575
711	136904	55376
712	137063	55171
713	137218	54964
714	137373	54757
715	137536	54553
716	137694	54347
717	137857	54144
718	138015	53939
719	138167	53731
720	138311	53521
721	138456	53311
722	138603	53102
723	138761	52898
724	138923	52694
725	139076	52488
726	139227	52282
727	139373	52073
728	139536	51871
729	139683	51663
730	139826	51454
731	139991	51253
732	140145	51048
733	140303	50845
734	140463	50643
735	140625	50441
736	140784	50239
737	140939	50035
738	141092	49831
739	141251	49628
740	141413	49428
741	141590	49232
742	141749	49030
743	141921	48833
744	142082	48632
745	142236	48429
746	142380	48222
747	142509	48011
748	142661	47807
749	142811	47603
750	142961	47400
751	143102	47193
752	143253	46990
753	143426	46794
754	143583	46593
755	143747	46394
756	143911	46196
757	144064	45994
758	144247	45801
759	144406	45602
760	144570	45403
761	144730	45204
762	144894	45006
763	145053	44807
764	145208	44606
765	145361	44405
766	145523	44207
767	145682	44008
768	145844	43810
769	146005	43612
770	146158	43411
771	146314	43212
772	146583	43045
773	146744	42847
774	146901	42648
775	147064	42451
776	147230	42255
777	147385	42056
778	147539	41856
779	147694	41657
780	147863	41462
781	148024	41265
782	148178	41066
783	148335	40867
784	148490	40669
785	148652	40472
786	148822	40278
787	148987	40082
788	149153	39887
789	149325	39694
790	149490	39498
791	149654	39303
792	149813	39106
793	149971	38909
794	150133	38713
795	150286	38515
796	150445	38319
797	150612	38124
798	150762	37926
799	150934	37733
800	151103	37539
801	151261	37343
802	151425	37149
803	151571	36950
804	151742	36757
805	151903	36562
806	152056	36365
807	152201	36166
808	152344	35967
809	152505	35772
810	152667	35578
811	152831	35384
812	152987	35189
813	153138	34992
814	153302	34798
815	153453	34602
816	153613	34407
817	153750	34208
818	153876	34006
819	154005	33805
820	154166	33612
821	154320	33417
822	154476	33222
823	154644	33030
824	154807	32837
825	154968	32644
826	155142	32454
827	155293	32259
828	155449	32064
829	155609	31871
830	155781	31681
831	155937	31487
832	156096	31294
833	156245	31099
834	156399	30905
835	156555	30711
836	156704	30517
837	156848	30321
838	156998	30127
839	157149	29933
840	157297	29738
841	157466	29548
842	157619	29355
843	157773	29161
844	157927	28968
845	158075	28774
846	158224	28581
847	158385	28389
848	158538	28197
849	158665	27999
850	158817	27807
851	158986	27617
852	159145	27426
853	159293	27232
854	159465	27043
855	159629	26853
856	159800	26664
857	159952	26472
858	160111	26281
859	160283	26092
860	160448	25902
861	160605	25711
862	160759	25520
863	160912	25328
864	161069	25138
865	161230	24947
866	161391	24757
867	161533	24564
868	161698	24375
869	161868	24187
870	162025	23996
871	162179	23806
872	162336	23615
873	162491	23425
874	162646	23235
875	162803	23045
876	162964	22855
877	163124	22666
878	163290	22478
879	163460	22290
880	163618	22100
881	163780	21911
882	163947	21723
883	164119	21536
884	164309	21350
885	164472	21162
886	164628	20972
887	164788	20784
888	164944	20594
889	165074	20402
890	165217	20211
891	165353	20020
892	165490	19829
893	165631	19638
894	165780	19449
895	165923	19258
896	166060	19068
897	166220	18880
898	166377	18691
899	166525	18502
900	166689	18315
901	166852	18128
902	167008	17939
903	167169	17752
904	167321	17564
905	167482	17376
906	167638	17188
907	167798	17001
908	167959	16814
909	168115	16626
910	168272	16439
911	168434	16252
912	168598	16065
913	168764	15879
914	168920	15692
915	169075	15504
916	169237	15318
917	169394	15131
918	169558	14944
919	169706	14757
920	169862	14570
921	170010	14382
922	170169	14196
923	170323	14009
924	170484	13823
925	170629	13635
926	170774	13448
927	170924	13261
928	171078	13074
929	171238	12888
930	171391	12702
931	171539	12515
932	171695	12329
933	171835	12142
934	171981	11955
935	172126	11769
936	172281	11583
937	172434	11397
938	172591	11212
939	172744	11026
940	172895	10840
941	173052	10655
942	173200	10469
943	173345	10283
944	173510	10098
945	173671	9913
946	173818	9727
947	173969	9542
948	174129	9357
949	174272	9172
950	174418	8986
951	174560	8801
952	174703	8616
953	174842	8430
954	174985	8245
955	175154	8061
956	175392	7880
957	175612	7699
958	175843	7517
959	176069	7336
960	176333	7156
961	176568	6974
962	176788	6792
963	177028	6611
964	177248	6428
965	177430	6244
966	177616	6061
967	177781	5877
968	177935	5692
969	178081	5507
970	178245	5323
971	178406	5139
972	178561	4954
973	178717	4770
974	178861	4586
975	179021	4402
976	179181	4218
977	179320	4033
978	179477	3849
979	179623	3665
980	179765	3481
981	179925	3298
982	180071	3114
983	180223	2930
984	180382	2746
985	180535	2563
986	180675	2379
987	180823	2196
988	180972	2012
989	181126	1829
990	181283	1646
991	181427	1463
992	181584	1280
993	181747	1097
994	181902	914
995	182061	731
996	182210	548
997	182344	365
998	182492	182
999	182655	0
