Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
s23,r103,APPROVED,Not Applicable,2024-07-02T00:21:55.996000Z,2024-07-02T00:28:53.992000Z,2024-07-02T00:28:55.568000Z,2024-07-02T00:28:54.605642Z,418,CB1VAZXU,2960,42,Male,Black,DATA_EXPIRED,United States,United States,English,No,Full-Time
s24,r54,APPROVED,Not Applicable,2024-07-02T00:23:24.671000Z,2024-07-02T00:26:37.894000Z,2024-07-02T00:26:38.546000Z,2024-07-02T00:27:05.330421Z,194,CB1VAZXU,3919,33,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
s25,r19,APPROVED,Not Applicable,2024-07-02T00:26:05.877000Z,2024-07-02T00:28:43.381000Z,2024-07-02T00:28:44.390000Z,2024-07-02T00:28:44.091883Z,158,CB1VAZXU,636,43,Female,White,United States,United States,United States,English,No,Full-Time
s26,r101,APPROVED,Not Applicable,2024-07-02T00:30:18.035000Z,2024-07-02T00:36:34.130000Z,2024-07-02T00:37:28.606000Z,2024-07-02T00:40:13.953884Z,377,CB1VAZXU,274,56,Female,White,United States,United States,United States,English,No,Full-Time
s27,r127,APPROVED,Not Applicable,2024-07-02T00:33:06.793000Z,2024-07-02T00:38:36.287000Z,2024-07-02T00:38:36.941000Z,2024-07-02T00:40:39.892619Z,330,CB1VAZXU,5026,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
s28,r53,APPROVED,Not Applicable,2024-07-02T00:33:35.051000Z,2024-07-02T00:40:33.130000Z,2024-07-02T00:40:34.554000Z,2024-07-02T00:40:56.896285Z,419,CB1VAZXU,119,31,Male,White,United States,United States,United States,English,No,Full-Time
s29,r56,APPROVED,Not Applicable,2024-07-02T00:35:31.003000Z,2024-07-02T00:42:37.210000Z,2024-07-02T00:42:40.400000Z,2024-07-02T00:42:37.700512Z,427,CB1VAZXU,473,58,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
s30,r131,APPROVED,Not Applicable,2024-07-02T00:39:13.034000Z,2024-07-02T00:51:43.156000Z,2024-07-02T00:51:45.402000Z,2024-07-02T00:51:44.601590Z,751,CB1VAZXU,279,55,Female,Black,United Kingdom,United States,United Kingdom,English,No,DATA_EXPIRED
s31,r14,APPROVED,Not Applicable,2024-07-02T00:41:29.594000Z,2024-07-02T00:44:32.633000Z,2024-07-02T00:44:35.397000Z,2024-07-02T00:44:33.343859Z,184,CB1VAZXU,505,41,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
s32,r91,APPROVED,Not Applicable,2024-07-02T00:41:38.124000Z,2024-07-02T00:48:17.011000Z,2024-07-02T00:48:40.081000Z,2024-07-02T00:49:32.187838Z,399,CB1VAZXU,229,38,Male,Mixed,United States,United States,United States,English,No,Full-Time
s33,r85,APPROVED,Not Applicable,2024-07-02T00:49:56.406000Z,2024-07-02T00:55:34.675000Z,2024-07-02T00:56:21.276000Z,2024-07-02T00:55:35.422845Z,339,CB1VAZXU,94,27,Male,Black,United States,United States,United States,English,No,Full-Time
s34,r111,APPROVED,Not Applicable,2024-07-02T00:51:16.498000Z,2024-07-02T00:56:52.643000Z,2024-07-02T00:59:30.729000Z,2024-07-02T00:59:31.908363Z,337,CB1VAZXU,5524,36,Female,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
s35,r87,APPROVED,Not Applicable,2024-07-02T01:07:37.324000Z,2024-07-02T01:15:01.860000Z,2024-07-02T01:16:34.123000Z,2024-07-02T01:16:47.623637Z,445,CB1VAZXU,4008,65,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
s36,r33,APPROVED,Not Applicable,2024-07-02T01:59:43.742000Z,2024-07-02T02:02:44.052000Z,2024-07-02T02:04:37.056000Z,2024-07-02T02:04:35.402400Z,181,CB1VAZXU,5270,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
s37,r68,APPROVED,Not Applicable,2024-07-02T02:06:45.083000Z,2024-07-02T02:12:20.245000Z,2024-07-02T02:12:27.536000Z,2024-07-02T02:12:21.219701Z,336,CB1VAZXU,811,42,Male,White,United States,United States,United States,English,No,Full-Time
s38,r37,APPROVED,Not Applicable,2024-07-02T02:55:00.113000Z,2024-07-02T02:58:49.634000Z,2024-07-02T03:00:36.271000Z,2024-07-02T04:02:22.214733Z,230,CB1VAZXU,6581,32,Male,White,United States,United States,United States,English,No,Full-Time
s39,r88,APPROVED,Not Applicable,2024-07-02T02:55:27.550000Z,2024-07-02T03:06:00.286000Z,2024-07-02T03:06:00.998000Z,2024-07-02T03:06:00.936116Z,633,CB1VAZXU,419,72,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
s40,r81,APPROVED,Not Applicable,2024-07-02T03:00:58.900000Z,2024-07-02T03:06:43.919000Z,2024-07-02T04:06:51.652000Z,2024-07-02T03:06:44.315685Z,346,CB1VAZXU,182,29,Male,White,United States,United States,United States,English,No,Full-Time
s41,r113,APPROVED,Not Applicable,2024-07-02T03:39:04.262000Z,2024-07-02T03:51:01.885000Z,2024-07-02T03:51:57.480000Z,2024-07-02T03:51:57.433285Z,718,CB1VAZXU,569,50,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
s42,r108,APPROVED,Not Applicable,2024-07-02T03:43:40.058000Z,2024-07-02T03:49:24.688000Z,2024-07-02T03:51:28.476000Z,2024-07-02T03:51:27.065484Z,345,CB1VAZXU,2489,34,Female,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
s43,r27,APPROVED,Not Applicable,2024-07-02T03:44:05.435000Z,2024-07-02T03:49:05.357000Z,2024-07-02T03:51:23.080000Z,2024-07-02T03:51:23.054356Z,300,CB1VAZXU,4896,40,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
s44,r95,APPROVED,Not Applicable,2024-07-02T03:58:05.832000Z,2024-07-02T04:08:27.090000Z,2024-07-02T04:08:28.133000Z,2024-07-02T04:10:07.637287Z,622,CB1VAZXU,2400,24,Female,White,United States,United States,United States,English,No,Full-Time
s45,r125,APPROVED,Not Applicable,2024-07-02T04:56:29.317000Z,2024-07-02T05:00:21.145000Z,2024-07-02T05:02:05.898000Z,2024-07-02T05:01:05.287184Z,232,CB1VAZXU,4831,47,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
s46,r121,APPROVED,Not Applicable,2024-07-02T06:16:53.672000Z,2024-07-02T06:34:49.431000Z,2024-07-02T06:36:51.334000Z,2024-07-02T06:36:54.937535Z,1076,CB1VAZXU,554,51,Male,Black,United States,United States,United States,English,No,Full-Time
s47,r120,APPROVED,Not Applicable,2024-07-02T06:18:13.337000Z,2024-07-02T06:35:01.213000Z,2024-07-02T06:36:54.240000Z,2024-07-02T06:37:05.352248Z,1008,CB1VAZXU,565,51,Male,Black,United States,United States,United States,English,No,Full-Time
s48,r86,APPROVED,Not Applicable,2024-07-02T06:36:54.046000Z,2024-07-02T06:45:22.909000Z,2024-07-02T06:46:05.635000Z,2024-07-02T06:47:22.307691Z,509,CB1VAZXU,313,27,Male,Black,Nigeria,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
s49,r43,APPROVED,Not Applicable,2024-07-02T07:21:43.326000Z,2024-07-02T07:26:49.561000Z,2024-07-02T07:26:50.351000Z,2024-07-02T07:28:06.341706Z,307,CB1VAZXU,316,38,Male,DATA_EXPIRED,United States,United States,United States,English,No,Full-Time
s50,r93,APPROVED,Not Applicable,2024-07-02T07:29:35.403000Z,2024-07-02T07:34:44.527000Z,2024-07-02T07:35:19.293000Z,2024-07-02T07:35:14.380808Z,310,CB1VAZXU,1227,27,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
s51,r69,APPROVED,Not Applicable,2024-07-02T08:10:37.321000Z,2024-07-02T08:15:37.535000Z,2024-07-02T08:15:41.023000Z,2024-07-02T08:15:38.171297Z,301,CB1VAZXU,126,34,Female,Black,United States,United States,United States,English,No,Full-Time
s52,r15,APPROVED,Not Applicable,2024-07-02T09:39:15.349000Z,2024-07-02T09:43:28.993000Z,2024-07-02T09:44:13.107000Z,2024-07-02T09:44:06.568569Z,254,CB1VAZXU,293,48,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
s53,r82,APPROVED,Not Applicable,2024-07-02T11:31:24.884000Z,2024-07-02T11:35:31.435000Z,2024-07-02T11:37:54.087000Z,2024-07-02T11:37:56.519970Z,247,CB1VAZXU,7446,37,Male,White,United States,United States,United States,English,No,Full-Time
s54,r76,APPROVED,Not Applicable,2024-07-02T11:33:30.457000Z,2024-07-02T11:37:17.299000Z,2024-07-02T11:38:10.428000Z,2024-07-02T11:38:29.843854Z,227,CB1VAZXU,3842,26,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
s55,r48,APPROVED,Not Applicable,2024-07-02T11:50:47.291000Z,2024-07-02T11:56:30.854000Z,2024-07-02T11:58:12.778000Z,2024-07-02T11:58:12.077605Z,344,CB1VAZXU,3991,60,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
s56,r35,APPROVED,Not Applicable,2024-07-02T11:53:29.990000Z,2024-07-02T12:10:01.853000Z,2024-07-02T12:11:05.911000Z,2024-07-02T12:11:04.430169Z,992,CB1VAZXU,1825,43,Male,White,United States,United States,United States,English,No,Full-Time
s57,r12,APPROVED,Not Applicable,2024-07-02T11:55:35.420000Z,2024-07-02T12:00:25.729000Z,2024-07-02T12:01:20.584000Z,2024-07-02T12:00:26.503598Z,291,CB1VAZXU,2953,36,Male,White,United States,United States,United States,English,No,Full-Time
s58,r34,APPROVED,Not Applicable,2024-07-02T12:01:33.959000Z,2024-07-02T12:06:02.693000Z,2024-07-02T12:06:05.580000Z,2024-07-02T12:06:03.425265Z,269,CB1VAZXU,2243,25,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
s59,r29,APPROVED,Not Applicable,2024-07-02T12:08:05.126000Z,2024-07-02T12:10:35.624000Z,2024-07-02T12:11:11.797000Z,2024-07-02T12:11:11.710887Z,151,CB1VAZXU,271,40,Male,White,United States,United States,United States,English,No,Full-Time
